Player,Nation,Squad,Age,Min,ATK,Go,Ast,Touches,Interceptions,YellowCard
Marcos Acuña,ARG,Sevilla,30.0,2260,0.16,1,3,2210,31,10
Sergio Agüero,ARG,Barcelona,33.0,151,0.59,1,0,58,0,0
Lucas Alario,ARG,Leverkusen,29.0,655,0.82,6,0,251,3,2
Cristian Ansaldi,ARG,Torino,35.0,691,0.39,0,3,494,5,2
Santiago Ascacíbar,ARG,Hertha BSC,25.0,2375,0.04,0,1,1470,54,5
Ezequiel Ávila,ARG,Osasuna,28.0,1870,0.33999999999999997,6,1,804,24,9
Leonardo Balerdi,ARG,Marseille,23.0,950,0.0,0,0,913,33,4
Rodrigo Battaglia,ARG,Mallorca,30.0,1179,0.0,0,0,669,20,4
Darío Benedetto,ARG,Marseille,32.0,54,0.0,0,0,19,0,0
Darío Benedetto,ARG,Elche,32.0,590,0.44999999999999996,2,1,183,2,1
Walter Benítez,ARG,Nice,29.0,3330,0.0,0,0,1103,0,2
Lucas Boyé,ARG,Elche,26.0,1713,0.53,7,3,847,10,3
Emi Buendía,ARG,Aston Villa,25.0,1899,0.47000000000000003,4,6,1165,18,1
Willy Caballero,ARG,Southampton,40.0,180,0.0,0,0,68,0,1
Guido Carrillo,ARG,Elche,31.0,1168,0.15,2,0,467,5,3
Franco Cervi,ARG,Celta Vigo,28.0,1801,0.35,4,3,1047,40,5
Ángel Correa,ARG,Atlético Madrid,27.0,1856,0.82,12,5,938,15,3
Joaquín Correa,ARG,Inter,27.0,1025,0.62,6,1,499,8,2
Rodrigo De Paul,ARG,Atlético Madrid,28.0,2151,0.17,3,1,1687,31,7
Ángel Di María,ARG,Paris S-G,34.0,1645,0.65,5,7,1395,18,2
Matías Dituro,ARG,Celta Vigo,35.0,3420,0.0,0,0,1547,0,1
Nicolás Domínguez,ARG,Bologna,23.0,2015,0.13,0,3,1475,45,8
Paulo Dybala,ARG,Juventus,28.0,2061,0.66,10,5,1472,19,3
Gonzalo Escalante,ARG,Lazio,29.0,9,0.0,0,0,10,0,0
